縣市,溫度,細項
基隆,"今日白天
21 - 22
降雨機率
40%
舒適
今晚明晨
20 - 21
降雨機率
90%
稍有寒意至舒適
明日白天
19 - 21
降雨機率
100%
稍有寒意至舒適",今日東北季風增強，請注意保暖，攜帶雨具
台北,"今日白天
20 - 22
降雨機率
30%
舒適
今晚明晨
19 - 20
降雨機率
80%
稍有寒意至舒適
明日白天
18 - 20
降雨機率
70%
稍有寒意",東北季風增強，天氣轉涼，有短暫雨，出門增添衣物並攜帶雨具備用。
新北,"今日白天
21 - 22
降雨機率
30%
舒適
今晚明晨
21 - 21
降雨機率
90%
舒適
明日白天
19 - 21
降雨機率
80%
稍有寒意至舒適",東北季風增強，天氣轉涼，有短暫雨，出門增添衣物並攜帶雨具備用。
桃園,"今日白天
21 - 22
降雨機率
30%
舒適
今晚明晨
20 - 21
降雨機率
80%
舒適
明日白天
19 - 21
降雨機率
70%
稍有寒意至舒適",東北季風增強，天氣轉涼，陰短暫雨，外出請攜帶雨具備用
新竹,"今日白天
22 - 24
降雨機率
0%
舒適
今晚明晨
20 - 22
降雨機率
40%
稍有寒意至舒適
明日白天
20 - 23
降雨機率
10%
稍有寒意至舒適",東北風增強，高溫降，沿海空曠地區易有強陣風。
苗栗,"今日白天
21 - 25
降雨機率
0%
舒適
今晚明晨
19 - 21
降雨機率
10%
稍有寒意至舒適
明日白天
19 - 24
降雨機率
0%
稍有寒意至舒適",東北季風增強，多雲，早晚天氣較涼
台中,"今日白天
24 - 28
降雨機率
0%
舒適
今晚明晨
20 - 24
降雨機率
0%
稍有寒意至舒適
明日白天
20 - 27
降雨機率
0%
稍有寒意至舒適",東北季風增強，晴時多雲，早晚天氣較涼
南投,"今日白天
24 - 29
降雨機率
0%
舒適
今晚明晨
19 - 24
降雨機率
0%
稍有寒意至舒適
明日白天
19 - 27
降雨機率
0%
稍有寒意至舒適",東北季風增強，天氣晴到多雲，留意日夜溫差大。
彰化,"今日白天
23 - 27
降雨機率
0%
舒適
今晚明晨
20 - 23
降雨機率
0%
稍有寒意至舒適
明日白天
20 - 26
降雨機率
0%
稍有寒意至舒適",東北季風增強影響，晴時多雲，早晚稍涼，請適時添加衣物。
雲林,"今日白天
23 - 28
降雨機率
0%
舒適
今晚明晨
19 - 23
降雨機率
0%
稍有寒意至舒適
明日白天
19 - 26
降雨機率
0%
稍有寒意至舒適",東北季風增強影響，晴時多雲，早晚稍涼，請適時添加衣物。
嘉義,"今日白天
24 - 28
降雨機率
0%
舒適
今晚明晨
19 - 24
降雨機率
0%
稍有寒意至舒適
明日白天
19 - 27
降雨機率
0%
稍有寒意至舒適",東北季風增強 晴時多雲 早晚涼
台南,"今日白天
24 - 28
降雨機率
0%
舒適
今晚明晨
21 - 24
降雨機率
0%
舒適
明日白天
21 - 26
降雨機率
0%
舒適",【早晚偏涼，中午有點熱，下午起東北風明顯增強。】
高雄,"今日白天
26 - 28
降雨機率
0%
舒適
今晚明晨
22 - 26
降雨機率
0%
舒適
明日白天
22 - 27
降雨機率
0%
舒適",今(27)日東北風逐漸增強，高雄市為多雲時晴的天氣。日夜溫差大，請注意保暖。
屏東,"今日白天
26 - 30
降雨機率
20%
舒適至悶熱
今晚明晨
21 - 26
降雨機率
0%
舒適
明日白天
21 - 28
降雨機率
20%
舒適",晴到多雲，早晚偏涼，日夜溫差大。
台東,"今日白天
24 - 27
降雨機率
10%
舒適
今晚明晨
21 - 24
降雨機率
10%
舒適
明日白天
21 - 24
降雨機率
10%
舒適",今(27)日受東北風影響，天氣稍涼，空曠區強陣風
花蓮,"今日白天
24 - 27
降雨機率
10%
舒適
今晚明晨
21 - 24
降雨機率
20%
舒適
明日白天
21 - 23
降雨機率
50%
舒適",東北季風增強，局部短暫雨，沿海小心長浪及強陣風。
宜蘭,"今日白天
21 - 22
降雨機率
30%
舒適
今晚明晨
20 - 21
降雨機率
70%
舒適
明日白天
18 - 20
降雨機率
90%
稍有寒意至舒適",今（２７）日東北季風增強，天氣轉涼，有雨，並有局部大雨發生的機率，明（２８）日東北季風影響，天氣較涼，有雨，並有局部大雨發生的機率，沿海空曠地區易有８至１０級強陣風，請注意。
